uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-AGENT-CONFIG-ELEMENTS-ORDER,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-EXTERNAL-CATALOGS,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-CATALOG-SHAPES,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-VERSION-SELECTION,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-CURRENT-MODES,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-MODE-ALIASES,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-FUTURE-MODES,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-COMPATIBILITY,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-FACTORY-CONFIG-PATH,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-ROOT-OVERRIDE,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-JSON-LOAD,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-CATALOG-RESOLUTION,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-CONSTRUCTION,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-CACHE-KEY,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-CACHE-CLEAR,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-NO-LLM-CALL,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-FACTORY-NO-AGENT-SEMANTICS,TRACED,agent_factory.py,ragstream/orchestration/agent_factory.py,PYTHON,"agent_factory.py owns this requirement through AgentFactory.__init__, _build_config_path, _load_json_file, _resolve_decision_targets, _extract_catalog_block, load_config, get_agent, and clear_cache as applicable; JSON evidence includes data/agents/<agent_id>/<version>.json decision_targets[*].options external-catalog references resolved before AgentPrompt.from_config."
GHOST-AGENT-PROMPT-FROM-CONFIG,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-RUN-INPUTS,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-REQUIRED-BINDINGS,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-SYSTEM-COMPOSITION,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-USER-COMPOSITION,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-PREAMBLE-ORDER,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-DECISION-TARGET-RENDERING,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-ACTIVE-FIELDS,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-MESSAGE-CONTRACT,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-RESPONSE-FORMAT,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-JSON-EXTRACTION,TRACED,json_parser.py,ragstream/orchestration/agent_prompt_helpers/json_parser.py,PYTHON,"json_parser.py owns JSON object extraction through extract_json_object, which accepts dicts, parses direct text JSON, attempts substring extraction, and returns {} without inventing content when extraction fails."
GHOST-AGENT-PROMPT-SELECTOR-PARSE,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-SELECTOR-FALLBACK,TRACED,field_normalizer.py,ragstream/orchestration/agent_prompt_helpers/field_normalizer.py,PYTHON,"field_normalizer.py owns generic enum fallback through normalize_one and normalize_many, which restrict outputs to configured allowed option ids, use valid defaults when present, and fall back only to allowed[0] or empty/None."
GHOST-AGENT-PROMPT-CLASSIFIER-PARSE,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-SYNTHESIZER-PARSE,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-RESULT-KEY-MAPPING,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-UNSUPPORTED-MODE,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-NO-PROVIDER-CALL,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-AGENT-PROMPT-NO-WRITEBACK,TRACED,agent_prompt.py,ragstream/orchestration/agent_prompt.py,PYTHON,"agent_prompt.py owns this requirement through AgentPrompt.from_config, __init__, compose, parse, _build_field_map, AgentPromptValidationError, and delegated helper calls for neutral text/schema/enum/JSON behavior; JSON evidence includes agent_meta.*, llm_config.*, static_prompt.*, dynamic_bindings[*], decision_targets[*], output_schema.*, and elements_order."
GHOST-LLM-CLIENT-PROVIDER-BOUNDARY,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-CURRENT-PROVIDER,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-CREDENTIAL,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-UNAVAILABLE,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-CHAT,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-CHAT-MODEL-PARAMETERS,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-RESPONSES,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-RESPONSES-MESSAGE-MAPPING,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-TEXT-EXTRACTION,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
GHOST-LLM-CLIENT-METADATA-RETURN,TRACED,llm_client.py,ragstream/orchestration/llm_client.py,PYTHON,"llm_client.py owns this provider-facing requirement through LLMClient.__init__, chat, responses, _extract_chat_usage, _extract_response_text, _extract_response_usage, _extract_response_status, _extract_response_incomplete_reason, _log_chat_usage, and _log_response_usage; consumers pass AgentPrompt messages/model settings rather than provider SDK objects."
